Date,Symbol,Close,Volume
2024-07-15,VLTO,98.01,1088600.0
2024-07-16,VLTO,99.2,1111700.0
2024-07-17,VLTO,98.04,1527500.0
2024-07-18,VLTO,98.63,849500.0
2024-07-19,VLTO,98.46,1011400.0
2024-07-22,VLTO,99.53,930700.0
2024-07-23,VLTO,100.44,971600.0
2024-07-24,VLTO,99.3,1364100.0
2024-07-25,VLTO,99.61,1687400.0
2024-07-26,VLTO,104.87,3164700.0
2024-07-29,VLTO,105.1,2195500.0
2024-07-30,VLTO,107.06,1702100.0
2024-07-31,VLTO,106.56,1486100.0
2024-08-01,VLTO,106.7,1531200.0
2024-08-02,VLTO,104.84,1698800.0
2024-08-05,VLTO,101.99,1773500.0
2024-08-06,VLTO,104.12,1612900.0
2024-08-07,VLTO,104.23,1183700.0
2024-08-08,VLTO,107.24,1173600.0
2024-08-09,VLTO,106.1,1466900.0
2024-08-12,VLTO,106.49,781900.0
2024-08-13,VLTO,108.09,1061800.0
2024-08-14,VLTO,108.51,771600.0
2024-08-15,VLTO,108.97,1029700.0
2024-08-16,VLTO,108.72,942800.0
2024-01-02,VMC,223.6,720200.0
2024-01-03,VMC,219.33,744500.0
2024-01-04,VMC,220.68,862800.0
2024-01-05,VMC,221.62,618700.0
2024-01-08,VMC,224.0,662200.0
2024-01-09,VMC,223.42,406200.0
2024-01-10,VMC,226.11,519600.0
2024-01-11,VMC,224.36,640100.0
2024-01-12,VMC,223.96,711000.0
2024-01-16,VMC,222.38,637700.0
2024-01-17,VMC,221.26,553000.0
2024-01-18,VMC,225.12,469900.0
2024-01-19,VMC,226.08,495800.0
2024-01-22,VMC,227.28,722200.0
2024-01-23,VMC,222.8,856200.0
2024-01-24,VMC,219.8,823000.0
2024-01-25,VMC,223.41,655600.0
2024-01-26,VMC,222.36,691600.0
2024-01-29,VMC,229.37,696900.0
2024-01-30,VMC,231.05,753300.0
2024-01-31,VMC,226.01,706500.0
2024-02-01,VMC,230.36,702700.0
2024-02-02,VMC,234.44,1036900.0
2024-02-05,VMC,229.65,1064900.0
2024-02-06,VMC,231.58,818000.0
2024-02-07,VMC,236.52,822400.0
2024-02-08,VMC,238.44,882000.0
2024-02-09,VMC,240.0,1050200.0
2024-02-12,VMC,240.13,910400.0
2024-02-13,VMC,237.12,859600.0
2024-02-14,VMC,241.1,1024800.0
2024-02-15,VMC,242.46,1187500.0
2024-02-16,VMC,255.15,2201400.0
2024-02-20,VMC,251.38,1115300.0
2024-02-21,VMC,253.43,650100.0
2024-02-22,VMC,256.94,717000.0
2024-02-23,VMC,257.23,786800.0
2024-02-26,VMC,261.08,855800.0
2024-02-27,VMC,263.56,727400.0
2024-02-28,VMC,262.3,1066800.0
2024-02-29,VMC,265.85,1113600.0
2024-03-01,VMC,267.43,712300.0
2024-03-04,VMC,267.85,885900.0
2024-03-05,VMC,264.98,1026000.0
2024-03-06,VMC,267.34,743300.0
2024-03-07,VMC,271.17,643400.0
2024-03-08,VMC,266.7,926200.0
2024-03-11,VMC,264.95,975200.0
2024-03-12,VMC,269.58,577700.0
2024-03-13,VMC,269.32,618100.0
2024-03-14,VMC,270.73,1003000.0
2024-03-15,VMC,266.86,1861300.0
2024-03-18,VMC,269.42,934600.0
2024-03-19,VMC,269.01,1239500.0
2024-03-20,VMC,271.74,933100.0
2024-03-21,VMC,275.59,1035600.0
2024-03-22,VMC,274.36,581600.0
2024-03-25,VMC,272.62,427800.0
2024-03-26,VMC,273.87,537800.0
2024-03-27,VMC,272.79,703200.0
2024-03-28,VMC,272.92,683000.0
2024-04-01,VMC,269.69,599100.0
2024-04-02,VMC,266.25,888500.0
2024-04-03,VMC,268.77,629700.0
2024-04-04,VMC,265.89,576800.0
2024-04-05,VMC,270.15,454100.0
2024-04-08,VMC,269.72,580200.0
2024-04-09,VMC,265.62,637500.0
2024-04-10,VMC,264.56,800600.0
2024-04-11,VMC,265.5,545900.0
2024-04-12,VMC,262.78,507900.0
2024-04-15,VMC,260.47,514100.0
2024-04-16,VMC,258.54,782800.0
2024-04-17,VMC,258.26,708200.0
2024-04-18,VMC,255.07,538100.0
2024-04-19,VMC,252.06,613800.0
2024-04-22,VMC,254.48,591400.0
2024-04-23,VMC,259.34,764900.0
2024-04-24,VMC,256.4,568000.0
2024-04-25,VMC,258.54,655900.0
2024-04-26,VMC,261.24,689100.0
2024-04-29,VMC,261.45,632700.0
2024-04-30,VMC,257.63,817100.0
2024-05-01,VMC,259.73,1036600.0
2024-05-02,VMC,264.41,1524200.0
2024-05-03,VMC,264.44,809400.0
2024-05-06,VMC,266.61,576400.0
2024-05-07,VMC,268.35,682700.0
2024-05-08,VMC,267.93,510400.0
2024-05-09,VMC,270.69,653900.0
2024-05-10,VMC,272.07,517100.0
2024-05-13,VMC,270.09,377100.0
2024-05-14,VMC,267.75,524900.0
2024-05-15,VMC,270.5,740500.0
2024-05-16,VMC,260.0,1181500.0
2024-05-17,VMC,259.1,498300.0
2024-05-20,VMC,260.21,567000.0
2024-05-21,VMC,262.18,1526600.0
2024-05-22,VMC,260.87,1042100.0
2024-05-23,VMC,257.21,679400.0
2024-05-24,VMC,259.25,329600.0
2024-05-28,VMC,253.98,519700.0
2024-05-29,VMC,251.91,486800.0
2024-05-30,VMC,254.08,647800.0
2024-05-31,VMC,255.77,1649500.0
2024-06-03,VMC,252.19,685000.0
2024-06-04,VMC,250.46,559700.0
2024-06-05,VMC,251.18,427600.0
2024-06-06,VMC,248.58,654400.0
2024-06-07,VMC,247.59,608200.0
2024-06-10,VMC,247.81,558200.0
2024-06-11,VMC,244.64,571300.0
2024-06-12,VMC,249.12,804100.0
2024-06-13,VMC,253.95,692700.0
2024-06-14,VMC,252.64,617300.0
2024-06-17,VMC,256.35,552500.0
2024-06-18,VMC,255.61,1143300.0
2024-06-20,VMC,246.46,1142600.0
2024-06-21,VMC,247.81,1258200.0
2024-06-24,VMC,247.58,822600.0
2024-06-25,VMC,246.15,903600.0
2024-06-26,VMC,245.88,790800.0
2024-06-27,VMC,247.76,577000.0
2024-06-28,VMC,248.68,988700.0
2024-07-01,VMC,243.72,652200.0
2024-07-02,VMC,245.07,773400.0
2024-07-03,VMC,243.92,439200.0
2024-07-05,VMC,244.21,415600.0
2024-07-08,VMC,241.97,735000.0
2024-07-09,VMC,242.25,796400.0
2024-07-10,VMC,247.72,634700.0
2024-07-11,VMC,254.69,902300.0
2024-07-12,VMC,252.51,833700.0
2024-07-15,VMC,253.9,838300.0
2024-07-16,VMC,262.81,866700.0
2024-07-17,VMC,255.8,628600.0
2024-07-18,VMC,256.09,531700.0
2024-07-19,VMC,256.14,599700.0
2024-07-22,VMC,260.61,743900.0
